pack_number,id,card_rarity
31,212/195,secret rare
31,097/195,rare
31,164/195,uncommon
31,088/195,uncommon
31,167/195,uncommon
31,114/195,common
31,086/195,common
31,093/195,common
31,005/195,common
31,123/195,common
32,038/195,uncommon
32,018/195,uncommon
32,094/195,uncommon
32,003/195,common
32,067/195,common
32,109/195,common
32,076/195,common
32,103/195,common
32,145/195,uncommon
32,014/195,rare
33,130/195,uncommon
33,092/195,uncommon
33,077/195,uncommon
33,017/195,common
33,054/195,common
33,074/195,common
33,144/195,common
33,060/195,common
33,037/195,common
33,045/195,rare
34,140/195,holo v rare
34,142/195,common
34,143/195,uncommon
34,159/195,uncommon
34,028/195,uncommon
34,083/195,common
34,087/195,common
34,053/195,common
34,017/195,common
34,054/195,common
35,088/195,uncommon
35,167/195,uncommon
35,006/195,uncommon
35,067/195,common
35,001/195,common
35,141/195,common
35,049/195,common
35,132/195,common
35,146/195,uncommon
35,125/195,rare
36,139/195,holo rare vstar
36,094/195,uncommon
36,061/195,uncommon
36,146/195,uncommon
36,049/195,common
36,132/195,common
36,127/195,common
36,111/195,common
36,083/195,common
36,068/195,uncommon
